"Navn"|"Kvinder"|"Mænd"|"Samlet"|"Andel.mænd"|"Kategori"
"23129"|"GBODJO"|0|1|1|1|"Mand"
"23130"|"GEALAL"|0|1|1|1|"Mand"
"23131"|"GEAMAL"|0|1|1|1|"Mand"
"23132"|"GEAMELO"|0|1|1|1|"Mand"
"23133"|"GEAN"|0|1|1|1|"Mand"
"23134"|"GEANI"|0|1|1|1|"Mand"
"23135"|"GEANNIS"|0|1|1|1|"Mand"
"23136"|"GEBEYEHU"|0|1|1|1|"Mand"
"23137"|"GEBHARD"|0|1|1|1|"Mand"
"23138"|"GEBRAIL"|0|1|1|1|"Mand"
"23139"|"GEBRAN"|0|1|1|1|"Mand"
"23140"|"GEBRE"|0|1|1|1|"Mand"
"23141"|"GEBREGZABIHIR"|0|1|1|1|"Mand"
"23142"|"GEBREHAWERYA"|0|1|1|1|"Mand"
"23143"|"GEBREL"|0|1|1|1|"Mand"
"23144"|"GEBREMICAEL"|0|1|1|1|"Mand"
"23145"|"GEBREZGI"|0|1|1|1|"Mand"
"23146"|"GECAS"|0|1|1|1|"Mand"
"23147"|"GEDEMINAS"|0|1|1|1|"Mand"
"23148"|"GEDIMINS"|0|1|1|1|"Mand"
"23149"|"GEDMINAS"|0|1|1|1|"Mand"
"23150"|"GEEDI"|0|1|1|1|"Mand"
"23151"|"GEELORD"|0|1|1|1|"Mand"
"23152"|"GEER"|0|1|1|1|"Mand"
"23153"|"GEERHARD"|0|1|1|1|"Mand"
"23154"|"GEERT-EJNER"|0|1|1|1|"Mand"
"23155"|"GEERTHANAN"|0|1|1|1|"Mand"
"23156"|"GEERTHIKAN"|0|1|1|1|"Mand"
"23157"|"GEERTHTHIKAN"|0|1|1|1|"Mand"
"23158"|"GEETHAIYAN"|0|1|1|1|"Mand"
"23159"|"GEETHENDRA"|0|1|1|1|"Mand"
"23160"|"GEEV"|0|1|1|1|"Mand"
"23161"|"GEGAM"|0|1|1|1|"Mand"
"23162"|"GEGENY"|0|1|1|1|"Mand"
"23163"|"GEHARD"|0|1|1|1|"Mand"
"23164"|"GEHARDT"|0|1|1|1|"Mand"
"23165"|"GEIDI"|0|1|1|1|"Mand"
"23166"|"GEIR-ARNE"|0|1|1|1|"Mand"
"23167"|"GEIRMUNDUR"|0|1|1|1|"Mand"
"23168"|"GEIR-OLE"|0|1|1|1|"Mand"
"23169"|"GEIR-TORE"|0|1|1|1|"Mand"
"23170"|"GEJR"|0|1|1|1|"Mand"
"23171"|"GELAN"|0|1|1|1|"Mand"
"23172"|"GELES"|0|1|1|1|"Mand"
"23173"|"GELIANG"|0|1|1|1|"Mand"
"23174"|"GELIUS"|0|1|1|1|"Mand"
"23175"|"GELOR"|0|1|1|1|"Mand"
"23176"|"GELSOMINO"|0|1|1|1|"Mand"
"23177"|"GELU-SORIN"|0|1|1|1|"Mand"
"23178"|"GEMAIN"|0|1|1|1|"Mand"
"23179"|"GEMAL"|0|1|1|1|"Mand"
"23180"|"GEMECHIS"|0|1|1|1|"Mand"
"23181"|"GEMECHU"|0|1|1|1|"Mand"
"23182"|"GEN"|0|1|1|1|"Mand"
"23183"|"GENADI"|0|1|1|1|"Mand"
"23184"|"GENADIJUS"|0|1|1|1|"Mand"
"23185"|"GENÇ"|0|1|1|1|"Mand"
"23186"|"GENCIAN"|0|1|1|1|"Mand"
"23187"|"GENCO"|0|1|1|1|"Mand"
"23188"|"GENDZHABAY"|0|1|1|1|"Mand"
"23189"|"GENEMO"|0|1|1|1|"Mand"
"23190"|"GENENE"|0|1|1|1|"Mand"
"23191"|"GENER"|0|1|1|1|"Mand"
"23192"|"GENESH"|0|1|1|1|"Mand"
"23193"|"GENETI"|0|1|1|1|"Mand"
"23194"|"GENGHUA"|0|1|1|1|"Mand"
"23195"|"GENGIS"|0|1|1|1|"Mand"
"23196"|"GENGQUAN"|0|1|1|1|"Mand"
"23197"|"GENGWEI"|0|1|1|1|"Mand"
"23198"|"GENGXIONG"|0|1|1|1|"Mand"
"23199"|"GENIEK"|0|1|1|1|"Mand"
"23200"|"GENNADI"|0|1|1|1|"Mand"
"23201"|"GENRIHS"|0|1|1|1|"Mand"
"23202"|"GENTIL"|0|1|1|1|"Mand"
"23203"|"GENTJAN"|0|1|1|1|"Mand"
"23204"|"GEOFFERY"|0|1|1|1|"Mand"
"23205"|"GEOFRED"|0|1|1|1|"Mand"
"23206"|"GEONTAE"|0|1|1|1|"Mand"
"23207"|"GEONWOO"|0|1|1|1|"Mand"
"23208"|"GEORFFRY"|0|1|1|1|"Mand"
"23209"|"GEORG-CHRISTOPH"|0|1|1|1|"Mand"
"23210"|"GEORGE-ADRIAN"|0|1|1|1|"Mand"
"23211"|"GEORGE-ALEXANDRU"|0|1|1|1|"Mand"
"23212"|"GEORGE-CODRUT"|0|1|1|1|"Mand"
"23213"|"GEORGE-GABRIEL"|0|1|1|1|"Mand"
"23214"|"GEORGE-LOUIS"|0|1|1|1|"Mand"
"23215"|"GEORGES-ROBERT"|0|1|1|1|"Mand"
"23216"|"GEORGE-VALENTIN"|0|1|1|1|"Mand"
"23217"|"GEORGE-ZOLTAN"|0|1|1|1|"Mand"
"23218"|"GEORGIAN-SORIN"|0|1|1|1|"Mand"
"23219"|"GEORGICA"|0|1|1|1|"Mand"
"23220"|"GEORGIJUS"|0|1|1|1|"Mand"
"23221"|"GEORGIO"|0|1|1|1|"Mand"
"23222"|"GEORGIOS-IEREMIAS"|0|1|1|1|"Mand"
"23223"|"GEORGIOZ"|0|1|1|1|"Mand"
"23224"|"GEORGIU"|0|1|1|1|"Mand"
"23225"|"GEORGJIOS"|0|1|1|1|"Mand"
"23226"|"GEORGS"|0|1|1|1|"Mand"
"23227"|"GEORG-THORKIL"|0|1|1|1|"Mand"
"23228"|"GEORG-WILHELM"|0|1|1|1|"Mand"
"23229"|"GEOVAN"|0|1|1|1|"Mand"
"23230"|"GEOVANE"|0|1|1|1|"Mand"
"23231"|"GERADO"|0|1|1|1|"Mand"
"23232"|"GERALDO"|0|1|1|1|"Mand"
"23233"|"GERARD-ALEXANDRE"|0|1|1|1|"Mand"
"23234"|"GERCO"|0|1|1|1|"Mand"
"23235"|"GERDAS"|0|1|1|1|"Mand"
"23236"|"GERD-HEINRICH"|0|1|1|1|"Mand"
"23237"|"GERD-MATTHIAS"|0|1|1|1|"Mand"
"23238"|"GERD-PETER"|0|1|1|1|"Mand"
"23239"|"GERD-THOMAS"|0|1|1|1|"Mand"
"23240"|"GERD-WERNER"|0|1|1|1|"Mand"
"23241"|"GEREON"|0|1|1|1|"Mand"
"23242"|"GERFRIED"|0|1|1|1|"Mand"
"23243"|"GERGELY-JOZSEF"|0|1|1|1|"Mand"
"23244"|"GERGES"|0|1|1|1|"Mand"
"23245"|"GERGEY"|0|1|1|1|"Mand"
"23246"|"GERHARD-JAN"|0|1|1|1|"Mand"
"23247"|"GERHARD-JOACHIM"|0|1|1|1|"Mand"
"23248"|"GERHARDT-FRANK"|0|1|1|1|"Mand"
"23249"|"GERIAN"|0|1|1|1|"Mand"
"23250"|"GERIB"|0|1|1|1|"Mand"
"23251"|"GERION"|0|1|1|1|"Mand"
"23252"|"GERIOS"|0|1|1|1|"Mand"
"23253"|"GERISHANTH"|0|1|1|1|"Mand"
"23254"|"GERLACH"|0|1|1|1|"Mand"
"23255"|"GERLAK"|0|1|1|1|"Mand"
"23256"|"GERLEV"|0|1|1|1|"Mand"
"23257"|"GERLIF"|0|1|1|1|"Mand"
"23258"|"GER-LIT"|0|1|1|1|"Mand"
"23259"|"GERLITO"|0|1|1|1|"Mand"
"23260"|"GERMÁN"|0|1|1|1|"Mand"
"23261"|"GERMANAS"|0|1|1|1|"Mand"
"23262"|"GERMAND"|0|1|1|1|"Mand"
"23263"|"GERMANO"|0|1|1|1|"Mand"
"23264"|"GERMANOS"|0|1|1|1|"Mand"
"23265"|"GERMANS"|0|1|1|1|"Mand"
"23266"|"GERNAR"|0|1|1|1|"Mand"
"23267"|"GERNORT"|0|1|1|1|"Mand"
"23268"|"GEROGIOS"|0|1|1|1|"Mand"
"23269"|"GERON"|0|1|1|1|"Mand"
"23270"|"GERRA"|0|1|1|1|"Mand"
"23271"|"GERRAL"|0|1|1|1|"Mand"
"23272"|"GERRIT-JAN"|0|1|1|1|"Mand"
"23273"|"GERRTHAN"|0|1|1|1|"Mand"
"23274"|"GERSAM"|0|1|1|1|"Mand"
"23275"|"GERSE-RICK"|0|1|1|1|"Mand"
"23276"|"GERT-ALFRED"|0|1|1|1|"Mand"
"23277"|"GERT-ARTHUR"|0|1|1|1|"Mand"
"23278"|"GERT-INGE"|0|1|1|1|"Mand"
"23279"|"GERT-MICHAEL"|0|1|1|1|"Mand"
"23280"|"GERT-OLE"|0|1|1|1|"Mand"
"23281"|"GERT-OLUF"|0|1|1|1|"Mand"
"23282"|"GERT-SIEVERT"|0|1|1|1|"Mand"
"23283"|"GERTT"|0|1|1|1|"Mand"
"23284"|"GERT-ULRIK"|0|1|1|1|"Mand"
"23285"|"GERT-WALTHER"|0|1|1|1|"Mand"
"23286"|"GERULF"|0|1|1|1|"Mand"
"23287"|"GERVALD"|0|1|1|1|"Mand"
"23288"|"GERVAN"|0|1|1|1|"Mand"
"23289"|"GERVIG"|0|1|1|1|"Mand"
"23290"|"GERVIL"|0|1|1|1|"Mand"
"23291"|"GERWIN"|0|1|1|1|"Mand"
"23292"|"GESHERE"|0|1|1|1|"Mand"
"23293"|"GESTIN"|0|1|1|1|"Mand"
"23294"|"GESUALDO"|0|1|1|1|"Mand"
"23295"|"GETENET"|0|1|1|1|"Mand"
"23296"|"GÉTHRO"|0|1|1|1|"Mand"
"23297"|"GETNET"|0|1|1|1|"Mand"
"23298"|"GETOAR"|0|1|1|1|"Mand"
"23299"|"GEVA"|0|1|1|1|"Mand"
"23300"|"GEVAIS"|0|1|1|1|"Mand"
"23301"|"GEWAYN"|0|1|1|1|"Mand"
"23302"|"GEYLAN"|0|1|1|1|"Mand"
"23303"|"GEYTI"|0|1|1|1|"Mand"
"23304"|"GEYTSEY"|0|1|1|1|"Mand"
"23305"|"GEZAHEGN"|0|1|1|1|"Mand"
"23306"|"GEZA-ISTVAN"|0|1|1|1|"Mand"
"23307"|"GEZIEL"|0|1|1|1|"Mand"
"23308"|"GHADFAN"|0|1|1|1|"Mand"
"23309"|"GHAEIS"|0|1|1|1|"Mand"
"23310"|"GHAMAI"|0|1|1|1|"Mand"
"23311"|"GHANBAR"|0|1|1|1|"Mand"
"23312"|"GHANDI"|0|1|1|1|"Mand"
"23313"|"GHANNAM"|0|1|1|1|"Mand"
"23314"|"GHANYAN"|0|1|1|1|"Mand"
"23315"|"GHANZFAR"|0|1|1|1|"Mand"
"23316"|"GHAREEB"|0|1|1|1|"Mand"
"23317"|"GHARRIB"|0|1|1|1|"Mand"
"23318"|"GHARZAI"|0|1|1|1|"Mand"
"23319"|"GHASIM"|0|1|1|1|"Mand"
"23320"|"GHAUSE"|0|1|1|1|"Mand"
"23321"|"GHAUSUDDIN"|0|1|1|1|"Mand"
"23322"|"GHAYADH"|0|1|1|1|"Mand"
"23323"|"GHAYEB"|0|1|1|1|"Mand"
"23324"|"GHAYETH"|0|1|1|1|"Mand"
"23325"|"GHAYLAN"|0|1|1|1|"Mand"
"23326"|"GHAYOOR"|0|1|1|1|"Mand"
"23327"|"GHAYTH"|0|1|1|1|"Mand"
"23328"|"GHAYYATH"|0|1|1|1|"Mand"
"23329"|"GHAZALEE"|0|1|1|1|"Mand"
"23330"|"GHAZI-ELIAS"|0|1|1|1|"Mand"
"23331"|"GHAZY"|0|1|1|1|"Mand"
"23332"|"GHEBREAB"|0|1|1|1|"Mand"
"23333"|"GHELAN"|0|1|1|1|"Mand"
"23334"|"GHENADIE"|0|1|1|1|"Mand"
"23335"|"GHENAHAT"|0|1|1|1|"Mand"
"23336"|"GHENNADIE"|0|1|1|1|"Mand"
"23337"|"GHEORGHE-ADRIAN"|0|1|1|1|"Mand"
"23338"|"GHEORGHE-ALEXANDRU"|0|1|1|1|"Mand"
"23339"|"GHEORGHE-ANDREI"|0|1|1|1|"Mand"
"23340"|"GHEORGHE-CLAUDIU"|0|1|1|1|"Mand"
"23341"|"GHEORGHE-CÄTÄLIN"|0|1|1|1|"Mand"
"23342"|"GHEORGHE-IULIAN"|0|1|1|1|"Mand"
"23343"|"GHEORGHE-LUCIAN"|0|1|1|1|"Mand"
"23344"|"GHEORGHE-NICUSOR"|0|1|1|1|"Mand"
"23345"|"GHEORGHE-PETRU"|0|1|1|1|"Mand"
"23346"|"GHEORGHIATA-GABRIEL"|0|1|1|1|"Mand"
"23347"|"GHERARDO"|0|1|1|1|"Mand"
"23348"|"GHEREZGHIHER"|0|1|1|1|"Mand"
"23349"|"GHERORGHE"|0|1|1|1|"Mand"
"23350"|"GHEZAI"|0|1|1|1|"Mand"
"23351"|"GHFOUR"|0|1|1|1|"Mand"
"23352"|"GHIMAR"|0|1|1|1|"Mand"
"23353"|"GHIRMAY"|0|1|1|1|"Mand"
"23354"|"GHIYAS"|0|1|1|1|"Mand"
"23355"|"GHODART-OLLA"|0|1|1|1|"Mand"
"23356"|"GHODRATOLLAH"|0|1|1|1|"Mand"
"23357"|"GHOLAGHA"|0|1|1|1|"Mand"
"23358"|"GHOLAMABBAS"|0|1|1|1|"Mand"
"23359"|"GHOLAMHASAN"|0|1|1|1|"Mand"
"23360"|"GHOLAM-HOSSAIN"|0|1|1|1|"Mand"
"23361"|"GHOLAM-HOSSEIN"|0|1|1|1|"Mand"
"23362"|"GHOLAM-NABI"|0|1|1|1|"Mand"
"23363"|"GHOLMAREZA"|0|1|1|1|"Mand"
"23364"|"GHORGHE"|0|1|1|1|"Mand"
"23365"|"GHOSUDDIN"|0|1|1|1|"Mand"
"23366"|"GHOUL"|0|1|1|1|"Mand"
"23367"|"GHRMAY"|0|1|1|1|"Mand"
"23368"|"GHUFAR"|0|1|1|1|"Mand"
"23369"|"GHULABUDDIN"|0|1|1|1|"Mand"
"23370"|"GHULAM-DASTGIR"|0|1|1|1|"Mand"
"23371"|"GHULAMHAZRAT"|0|1|1|1|"Mand"
"23372"|"GHULAMNABI"|0|1|1|1|"Mand"
"23373"|"GHULLAM"|0|1|1|1|"Mand"
"23374"|"GHYBULLAH"|0|1|1|1|"Mand"
"23375"|"GHYSLAIN"|0|1|1|1|"Mand"
"23376"|"GHAASAN"|0|1|1|1|"Mand"
"23377"|"GIA-BAO"|0|1|1|1|"Mand"
"23378"|"GIACINTO"|0|1|1|1|"Mand"
"23379"|"GIACO"|0|1|1|1|"Mand"
"23380"|"GIAHUNG"|0|1|1|1|"Mand"
"23381"|"GIAI"|0|1|1|1|"Mand"
"23382"|"GIAJENTHIRAN"|0|1|1|1|"Mand"
"23383"|"GIAKOULIS-IOA"|0|1|1|1|"Mand"
"23384"|"GIAMPAOLO"|0|1|1|1|"Mand"
"23385"|"GIAMPIETRO"|0|1|1|1|"Mand"
"23386"|"GIANANDREA"|0|1|1|1|"Mand"
"23387"|"GIAN-CARLO"|0|1|1|1|"Mand"
"23388"|"GIAN-DICK"|0|1|1|1|"Mand"
"23389"|"GIANI"|0|1|1|1|"Mand"
"23390"|"GIANI-FLORIN"|0|1|1|1|"Mand"
"23391"|"GIANLUIGI"|0|1|1|1|"Mand"
"23392"|"GIANNAKIS"|0|1|1|1|"Mand"
"23393"|"GIANNINI"|0|1|1|1|"Mand"
"23394"|"GIANNINO"|0|1|1|1|"Mand"
"23395"|"GIANPIERO"|0|1|1|1|"Mand"
"23396"|"GIANPIETRO"|0|1|1|1|"Mand"
"23397"|"GIBBE"|0|1|1|1|"Mand"
"23398"|"GIBI"|0|1|1|1|"Mand"
"23399"|"GIBRILLA"|0|1|1|1|"Mand"
"23400"|"GICE"|0|1|1|1|"Mand"
"23401"|"GICU"|0|1|1|1|"Mand"
"23402"|"GIDEONFAITH"|0|1|1|1|"Mand"
"23403"|"GIDION"|0|1|1|1|"Mand"
"23404"|"GIJSBERTHUS"|0|1|1|1|"Mand"
"23405"|"GILAN"|0|1|1|1|"Mand"
"23406"|"GILBARTH"|0|1|1|1|"Mand"
"23407"|"GILBOA"|0|1|1|1|"Mand"
"23408"|"GILCHRIST"|0|1|1|1|"Mand"
"23409"|"GILDO"|0|1|1|1|"Mand"
"23410"|"GILEMIKAEL"|0|1|1|1|"Mand"
"23411"|"GILIAN"|0|1|1|1|"Mand"
"23412"|"GILION"|0|1|1|1|"Mand"
"23413"|"GILJANA"|0|1|1|1|"Mand"
"23414"|"GILLBERT"|0|1|1|1|"Mand"
"23415"|"GILLE"|0|1|1|1|"Mand"
"23416"|"GILLI"|0|1|1|1|"Mand"
"23417"|"GILLIAM"|0|1|1|1|"Mand"
"23418"|"GILLIESPIE"|0|1|1|1|"Mand"
"23419"|"GILLIS"|0|1|1|1|"Mand"
"23420"|"GILLUR"|0|1|1|1|"Mand"
"23421"|"GILMAN"|0|1|1|1|"Mand"
"23422"|"GILS"|0|1|1|1|"Mand"
"23423"|"GILYANA"|0|1|1|1|"Mand"
"23424"|"GIMEL"|0|1|1|1|"Mand"
"23425"|"GIMILL"|0|1|1|1|"Mand"
"23426"|"GIMMI"|0|1|1|1|"Mand"
"23427"|"GINEL"|0|1|1|1|"Mand"
"23428"|"GINENDRARAJAH"|0|1|1|1|"Mand"
"23429"|"GINN"|0|1|1|1|"Mand"
"23430"|"GINNI"|0|1|1|1|"Mand"
"23431"|"GIOACCHINO"|0|1|1|1|"Mand"
"23432"|"GIOANNIS"|0|1|1|1|"Mand"
"23433"|"GIONA"|0|1|1|1|"Mand"
"23434"|"GIONI"|0|1|1|1|"Mand"
"23435"|"GIORA"|0|1|1|1|"Mand"
"23436"|"GIORGIAN"|0|1|1|1|"Mand"
"23437"|"GIORGIS"|0|1|1|1|"Mand"
"23438"|"GIOVANI"|0|1|1|1|"Mand"
"23439"|"GIRAN"|0|1|1|1|"Mand"
"23440"|"GIRAYHAN"|0|1|1|1|"Mand"
"23441"|"GIREESH"|0|1|1|1|"Mand"
"23442"|"GIRENAS"|0|1|1|1|"Mand"
"23443"|"GIRESSE"|0|1|1|1|"Mand"
"23444"|"GIRI"|0|1|1|1|"Mand"
"23445"|"GIRIBABU"|0|1|1|1|"Mand"
"23446"|"GIRIDEV"|0|1|1|1|"Mand"
"23447"|"GIRIDHAR"|0|1|1|1|"Mand"
"23448"|"GIRIJA"|0|1|1|1|"Mand"
"23449"|"GIRISHANKAR"|0|1|1|1|"Mand"
"23450"|"GIRMANTAS"|0|1|1|1|"Mand"
"23451"|"GIRUBAGARAN"|0|1|1|1|"Mand"
"23452"|"GIRUM"|0|1|1|1|"Mand"
"23453"|"GIRWAN"|0|1|1|1|"Mand"
"23454"|"GIRYES"|0|1|1|1|"Mand"
"23455"|"GISBERT"|0|1|1|1|"Mand"
"23456"|"GÍSLA"|0|1|1|1|"Mand"
"23457"|"GISLAIN"|0|1|1|1|"Mand"
"23458"|"GISOTHMAN"|0|1|1|1|"Mand"
"23459"|"GISSUR"|0|1|1|1|"Mand"
"23460"|"GITANGAZA"|0|1|1|1|"Mand"
"23461"|"GITITAD"|0|1|1|1|"Mand"
"23462"|"GITTISAK"|0|1|1|1|"Mand"
"23463"|"GIUDRIUS"|0|1|1|1|"Mand"
"23464"|"GIUKE"|0|1|1|1|"Mand"
"23465"|"GIUSEPI"|0|1|1|1|"Mand"
"23466"|"GIUSTINO"|0|1|1|1|"Mand"
"23467"|"GIVARGIS"|0|1|1|1|"Mand"
"23468"|"GIVERGIZ"|0|1|1|1|"Mand"
"23469"|"GIVI"|0|1|1|1|"Mand"
"23470"|"GIYASI"|0|1|1|1|"Mand"
"23471"|"GIZACHEW"|0|1|1|1|"Mand"
"23472"|"GIZMO"|0|1|1|1|"Mand"
"23473"|"GIAAN"|0|1|1|1|"Mand"
"23474"|"GJAKIM"|0|1|1|1|"Mand"
"23475"|"GJALT"|0|1|1|1|"Mand"
"23476"|"GJAVIT"|0|1|1|1|"Mand"
"23477"|"GJELFF"|0|1|1|1|"Mand"
"23478"|"GJELIL"|0|1|1|1|"Mand"
"23479"|"GJEMAJLI"|0|1|1|1|"Mand"
"23480"|"GJENGIS"|0|1|1|1|"Mand"
"23481"|"GJERLØF"|0|1|1|1|"Mand"
"23482"|"GJERLØFF"|0|1|1|1|"Mand"
"23483"|"GJERLØV"|0|1|1|1|"Mand"
"23484"|"GJIN"|0|1|1|1|"Mand"
"23485"|"GJON"|0|1|1|1|"Mand"
"23486"|"GJORGJI"|0|1|1|1|"Mand"
"23487"|"GJOSE"|0|1|1|1|"Mand"
"23488"|"GJULADIN"|0|1|1|1|"Mand"
"23489"|"GJUNAJ"|0|1|1|1|"Mand"
"23490"|"GLARIE"|0|1|1|1|"Mand"
"23491"|"GLASFORD"|0|1|1|1|"Mand"
"23492"|"GLEAN"|0|1|1|1|"Mand"
"23493"|"GLENT"|0|1|1|1|"Mand"
"23494"|"GLENVILLE"|0|1|1|1|"Mand"
"23495"|"GLIGOR"|0|1|1|1|"Mand"
"23496"|"GLISA"|0|1|1|1|"Mand"
"23497"|"GLOB"|0|1|1|1|"Mand"
"23498"|"GLYCK"|0|1|1|1|"Mand"
"23499"|"GMITAR"|0|1|1|1|"Mand"
"23500"|"GNAHOUA"|0|1|1|1|"Mand"
"23501"|"GNANAKONE"|0|1|1|1|"Mand"
"23502"|"GNANAPALA"|0|1|1|1|"Mand"
"23503"|"GNANAPANDITHAN"|0|1|1|1|"Mand"
"23504"|"GNANAPRAGSAM"|0|1|1|1|"Mand"
"23505"|"GNANARAJ"|0|1|1|1|"Mand"
"23506"|"GNANASEGARAN"|0|1|1|1|"Mand"
"23507"|"GNANATHEEPAN"|0|1|1|1|"Mand"
"23508"|"GNANAVADIVEL"|0|1|1|1|"Mand"
"23509"|"GNANAVEL"|0|1|1|1|"Mand"
"23510"|"GNEL"|0|1|1|1|"Mand"
"23511"|"GNENEGBE-MADOU"|0|1|1|1|"Mand"
"23512"|"GNEPAUD"|0|1|1|1|"Mand"
"23513"|"GO"|0|1|1|1|"Mand"
"23514"|"GOBETHAN"|0|1|1|1|"Mand"
"23515"|"GOBINESAN"|0|1|1|1|"Mand"
"23516"|"GOBY"|0|1|1|1|"Mand"
"23517"|"GOBYICHAND"|0|1|1|1|"Mand"
"23518"|"GODEESWARAN"|0|1|1|1|"Mand"
"23519"|"GODFRYD"|0|1|1|1|"Mand"
"23520"|"GODOFREDD"|0|1|1|1|"Mand"
"23521"|"GODOFREDO"|0|1|1|1|"Mand"
"23522"|"GODRATULAH"|0|1|1|1|"Mand"
"23523"|"GODSON"|0|1|1|1|"Mand"
"23524"|"GODTHARDT"|0|1|1|1|"Mand"
"23525"|"GODVIN"|0|1|1|1|"Mand"
"23526"|"GOGIN"|0|1|1|1|"Mand"
"23527"|"GOITOM"|0|1|1|1|"Mand"
"23528"|"GOK"|0|1|1|1|"Mand"
"23529"|"GOKAN"|0|1|1|1|"Mand"
"23530"|"GÒKHAN"|0|1|1|1|"Mand"
"23531"|"GÔKHAN"|0|1|1|1|"Mand"
"23532"|"GÕKHAN"|0|1|1|1|"Mand"
"23533"|"GOKILAJITH"|0|1|1|1|"Mand"
"23534"|"GOLAGHA"|0|1|1|1|"Mand"
"23535"|"GOLAMHASSAN"|0|1|1|1|"Mand"
"23536"|"GOLAM-REZA"|0|1|1|1|"Mand"
"23537"|"GOLDSTON"|0|1|1|1|"Mand"
"23538"|"GOLF"|0|1|1|1|"Mand"
"23539"|"GOLMOHAMMAD"|0|1|1|1|"Mand"
"23540"|"GOMART"|0|1|1|1|"Mand"
"23541"|"GOMER"|0|1|1|1|"Mand"
"23542"|"GOMMER"|0|1|1|1|"Mand"
"23543"|"GOMU"|0|1|1|1|"Mand"
"23544"|"GONAID"|0|1|1|1|"Mand"
"23545"|"GONÇALO"|0|1|1|1|"Mand"
"23546"|"GONDE"|0|1|1|1|"Mand"
"23547"|"GONGMING"|0|1|1|1|"Mand"
"23548"|"GONGYAO"|0|1|1|1|"Mand"
"23549"|"GONI"|0|1|1|1|"Mand"
"23550"|"GONY"|0|1|1|1|"Mand"
"23551"|"GONZAGUE"|0|1|1|1|"Mand"
"23552"|"GONZO"|0|1|1|1|"Mand"
"23553"|"GOODLUCK"|0|1|1|1|"Mand"
"23554"|"GOODSON"|0|1|1|1|"Mand"
"23555"|"GOPAKUMAR"|0|1|1|1|"Mand"
"23556"|"GOPALASINGAM"|0|1|1|1|"Mand"
"23557"|"GOPALKRISHNA"|0|1|1|1|"Mand"
"23558"|"GOPINATHAN"|0|1|1|1|"Mand"
"23559"|"GOPIRAMAN"|0|1|1|1|"Mand"
"23560"|"GOPU"|0|1|1|1|"Mand"
"23561"|"GOPYNAARTH"|0|1|1|1|"Mand"
"23562"|"GÓRAN"|0|1|1|1|"Mand"
"23563"|"GORANCO"|0|1|1|1|"Mand"
"23564"|"GORANE"|0|1|1|1|"Mand"
"23565"|"GORAZD"|0|1|1|1|"Mand"
"23566"|"GORCE"|0|1|1|1|"Mand"
"23567"|"GORDEY"|0|1|1|1|"Mand"
"23568"|"GORDO"|0|1|1|1|"Mand"
"23569"|"GORDY"|0|1|1|1|"Mand"
"23570"|"GOREG"|0|1|1|1|"Mand"
"23571"|"GOREIL"|0|1|1|1|"Mand"
"23572"|"GOREN"|0|1|1|1|"Mand"
"23573"|"GORGE"|0|1|1|1|"Mand"
"23574"|"GORGEIS"|0|1|1|1|"Mand"
"23575"|"GORGI"|0|1|1|1|"Mand"
"23576"|"GORGIAS"|0|1|1|1|"Mand"
"23577"|"GORIJE"|0|1|1|1|"Mand"
"23578"|"GORJAN"|0|1|1|1|"Mand"
"23579"|"GORKEM"|0|1|1|1|"Mand"
"23580"|"GORKIS"|0|1|1|1|"Mand"
"23581"|"GORM-UFFE"|0|1|1|1|"Mand"
"23582"|"GORNI"|0|1|1|1|"Mand"
"23583"|"GOROCICA"|0|1|1|1|"Mand"
"23584"|"GOSHU"|0|1|1|1|"Mand"
"23585"|"GOSPEL"|0|1|1|1|"Mand"
"23586"|"GOSSE"|0|1|1|1|"Mand"
"23587"|"GOSWIN"|0|1|1|1|"Mand"
"23588"|"GOTHFRED"|0|1|1|1|"Mand"
"23589"|"GOTLIEB"|0|1|1|1|"Mand"
"23590"|"GOTTBERG"|0|1|1|1|"Mand"
"23591"|"GOTTLOB"|0|1|1|1|"Mand"
"23592"|"GOUDARZ"|0|1|1|1|"Mand"
"23593"|"GOUGOU"|0|1|1|1|"Mand"
"23594"|"GOUNI"|0|1|1|1|"Mand"
"23595"|"GOUNOD"|0|1|1|1|"Mand"
"23596"|"GOURGEN"|0|1|1|1|"Mand"
"23597"|"GOUVAR"|0|1|1|1|"Mand"
"23598"|"GOVAHRAM"|0|1|1|1|"Mand"
"23599"|"GOVARDHAN"|0|1|1|1|"Mand"
"23600"|"GOVINDARAJAH"|0|1|1|1|"Mand"
"23601"|"GOVINDARAJAN"|0|1|1|1|"Mand"
"23602"|"GOVINDASWAMY"|0|1|1|1|"Mand"
"23603"|"GOVSHAN"|0|1|1|1|"Mand"
"23604"|"GOVSIKAN"|0|1|1|1|"Mand"
"23605"|"GOWRISANGAR"|0|1|1|1|"Mand"
"23606"|"GOWSHANTH"|0|1|1|1|"Mand"
"23607"|"GOWSHICATHMAJAN"|0|1|1|1|"Mand"
"23608"|"GOWSIGHAN"|0|1|1|1|"Mand"
"23609"|"GOWSIKAN"|0|1|1|1|"Mand"
"23610"|"GOWZICAN"|0|1|1|1|"Mand"
"23611"|"GOY"|0|1|1|1|"Mand"
"23612"|"GOYTOM"|0|1|1|1|"Mand"
"23613"|"GRACH"|0|1|1|1|"Mand"
"23614"|"GRACIEUX"|0|1|1|1|"Mand"
