"Navn"|"Kvinder"|"Mænd"|"Samlet"|"Andel.mænd"|"Kategori"
"115"|"VALDEMAR"|0|3088|3088|1|"Mand"
"116"|"OSKAR"|0|3060|3060|1|"Mand"
"117"|"KEVIN"|0|3055|3055|1|"Mand"
"118"|"NIKLAS"|0|3045|3045|1|"Mand"
"119"|"SVEN"|0|3019|3019|1|"Mand"
"120"|"SILAS"|0|3018|3018|1|"Mand"
"121"|"SUNE"|0|2980|2980|1|"Mand"
"122"|"UFFE"|0|2924|2924|1|"Mand"
"123"|"PAUL"|0|2908|2908|1|"Mand"
"124"|"MARC"|0|2772|2772|1|"Mand"
"125"|"ALBERT"|0|2759|2759|1|"Mand"
"126"|"BJARKE"|0|2701|2701|1|"Mand"
"127"|"THOR"|0|2668|2668|1|"Mand"
"128"|"ALFRED"|0|2579|2579|1|"Mand"
"129"|"ERNST"|0|2576|2576|1|"Mand"
"130"|"EBBE"|0|2567|2567|1|"Mand"
"131"|"CHRISTOPHER"|0|2504|2504|1|"Mand"
"132"|"ASBJØRN"|0|2472|2472|1|"Mand"
"133"|"LAURITS"|0|2455|2455|1|"Mand"
"134"|"FREDDY"|0|2452|2452|1|"Mand"
"135"|"JES"|0|2442|2442|1|"Mand"
"136"|"MARKUS"|0|2416|2416|1|"Mand"
"137"|"BIRGER"|0|2385|2385|1|"Mand"
"138"|"HARRY"|0|2328|2328|1|"Mand"
"139"|"JOACHIM"|0|2320|2320|1|"Mand"
"140"|"NILS"|0|2320|2320|1|"Mand"
"141"|"MALTE"|0|2287|2287|1|"Mand"
"142"|"JIMMI"|0|2276|2276|1|"Mand"
"143"|"AXEL"|0|2254|2254|1|"Mand"
"144"|"JULIUS"|0|2245|2245|1|"Mand"
"145"|"BRUNO"|0|2157|2157|1|"Mand"
"146"|"EJVIND"|0|2087|2087|1|"Mand"
"147"|"THEIS"|0|2050|2050|1|"Mand"
"148"|"BERTRAM"|0|2037|2037|1|"Mand"
"149"|"JACK"|0|2012|2012|1|"Mand"
"150"|"MOHAMED"|0|2005|2005|1|"Mand"
"151"|"THORKILD"|0|1990|1990|1|"Mand"
"152"|"VILLADS"|0|1932|1932|1|"Mand"
"153"|"JANNIK"|0|1849|1849|1|"Mand"
"154"|"PHILLIP"|0|1841|1841|1|"Mand"
"155"|"NIKOLAI"|0|1836|1836|1|"Mand"
"156"|"RICHARD"|0|1830|1830|1|"Mand"
"157"|"HJALTE"|0|1733|1733|1|"Mand"
"158"|"BASTIAN"|0|1718|1718|1|"Mand"
"159"|"MARCO"|0|1713|1713|1|"Mand"
"160"|"EIGIL"|0|1685|1685|1|"Mand"
"161"|"NICLAS"|0|1684|1684|1|"Mand"
"162"|"SIGURD"|0|1663|1663|1|"Mand"
"163"|"MUSTAFA"|0|1642|1642|1|"Mand"
"164"|"HUGO"|0|1598|1598|1|"Mand"
"165"|"PEER"|0|1571|1571|1|"Mand"
"166"|"ROLF"|0|1557|1557|1|"Mand"
"167"|"FELIX"|0|1528|1528|1|"Mand"
"168"|"GEORG"|0|1519|1519|1|"Mand"
"169"|"EJNER"|0|1514|1514|1|"Mand"
"170"|"LEON"|0|1510|1510|1|"Mand"
"171"|"AHMED"|0|1502|1502|1|"Mand"
"172"|"HARALD"|0|1502|1502|1|"Mand"
"173"|"ANKER"|0|1466|1466|1|"Mand"
"174"|"LENNART"|0|1463|1463|1|"Mand"
"175"|"JOAKIM"|0|1461|1461|1|"Mand"
"176"|"EJNAR"|0|1430|1430|1|"Mand"
"177"|"LOUIS"|0|1421|1421|1|"Mand"
"178"|"IBRAHIM"|0|1402|1402|1|"Mand"
"179"|"FILIP"|0|1378|1378|1|"Mand"
"180"|"ASKE"|0|1361|1361|1|"Mand"
"181"|"MEHMET"|0|1355|1355|1|"Mand"
"182"|"JANNICK"|0|1348|1348|1|"Mand"
"183"|"KENN"|0|1316|1316|1|"Mand"
"184"|"ANDRÉ"|0|1315|1315|1|"Mand"
"185"|"NICOLAS"|0|1298|1298|1|"Mand"
"186"|"SANDER"|0|1297|1297|1|"Mand"
"187"|"FRODE"|0|1288|1288|1|"Mand"
"188"|"GUNNER"|0|1287|1287|1|"Mand"
"189"|"BENDT"|0|1218|1218|1|"Mand"
"190"|"SOFUS"|0|1212|1212|1|"Mand"
"191"|"FRITS"|0|1210|1210|1|"Mand"
"192"|"MATIAS"|0|1205|1205|1|"Mand"
"193"|"TRISTAN"|0|1188|1188|1|"Mand"
"194"|"POVL"|0|1154|1154|1|"Mand"
"195"|"TORSTEN"|0|1144|1144|1|"Mand"
"196"|"NICHLAS"|0|1132|1132|1|"Mand"
"197"|"MOHAMAD"|0|1126|1126|1|"Mand"
"198"|"STEVEN"|0|1110|1110|1|"Mand"
"199"|"HASSAN"|0|1100|1100|1|"Mand"
"200"|"THEODOR"|0|1090|1090|1|"Mand"
"201"|"THORBJØRN"|0|1089|1089|1|"Mand"
"202"|"ARTHUR"|0|1048|1048|1|"Mand"
"203"|"MUHAMMAD"|0|1026|1026|1|"Mand"
"204"|"SYLVESTER"|0|1026|1026|1|"Mand"
"205"|"TOKE"|0|1024|1024|1|"Mand"
"206"|"TOMAS"|0|1012|1012|1|"Mand"
"207"|"ADRIAN"|0|1000|1000|1|"Mand"
"208"|"POUL-ERIK"|0|994|994|1|"Mand"
"209"|"PELLE"|0|987|987|1|"Mand"
"210"|"GABRIEL"|0|967|967|1|"Mand"
"211"|"RUBEN"|0|965|965|1|"Mand"
"212"|"LAU"|0|961|961|1|"Mand"
"213"|"OMAR"|0|948|948|1|"Mand"
"214"|"STEPHAN"|0|924|924|1|"Mand"
"215"|"GORM"|0|920|920|1|"Mand"
"216"|"STEFFAN"|0|914|914|1|"Mand"
"217"|"LAUGE"|0|913|913|1|"Mand"
"218"|"LUDVIG"|0|910|910|1|"Mand"
"219"|"KRESTEN"|0|904|904|1|"Mand"
"220"|"EVALD"|0|893|893|1|"Mand"
"221"|"ALF"|0|883|883|1|"Mand"
"222"|"ULRICH"|0|869|869|1|"Mand"
"223"|"KÅRE"|0|862|862|1|"Mand"
"224"|"CLAES"|0|858|858|1|"Mand"
"225"|"ALAN"|0|852|852|1|"Mand"
"226"|"EJGIL"|0|850|850|1|"Mand"
"227"|"LAURIDS"|0|849|849|1|"Mand"
"228"|"KENNET"|0|847|847|1|"Mand"
"229"|"HERLUF"|0|846|846|1|"Mand"
"230"|"NIS"|0|826|826|1|"Mand"
"231"|"JONATAN"|0|810|810|1|"Mand"
"232"|"OLAV"|0|804|804|1|"Mand"
"233"|"HANS-HENRIK"|0|789|789|1|"Mand"
"234"|"BERTIL"|0|786|786|1|"Mand"
"235"|"OLUF"|0|776|776|1|"Mand"
"236"|"LAUST"|0|766|766|1|"Mand"
"237"|"KALLE"|0|754|754|1|"Mand"
"238"|"KENNI"|0|749|749|1|"Mand"
"239"|"MATTHIAS"|0|745|745|1|"Mand"
"240"|"KAARE"|0|740|740|1|"Mand"
"241"|"AHMET"|0|735|735|1|"Mand"
"242"|"OLAF"|0|735|735|1|"Mand"
"243"|"HASAN"|0|734|734|1|"Mand"
"244"|"ULF"|0|732|732|1|"Mand"
"245"|"LINUS"|0|727|727|1|"Mand"
"246"|"HEINRICH"|0|716|716|1|"Mand"
"247"|"ERLAND"|0|715|715|1|"Mand"
"248"|"WERNER"|0|706|706|1|"Mand"
"249"|"ALEKSANDER"|0|700|700|1|"Mand"
"250"|"CHARLES"|0|668|668|1|"Mand"
"251"|"HUSSEIN"|0|663|663|1|"Mand"
"252"|"FRITZ"|0|662|662|1|"Mand"
"253"|"MUHAMMED"|0|660|660|1|"Mand"
"254"|"ERIC"|0|648|648|1|"Mand"
"255"|"LIAM"|0|627|627|1|"Mand"
"256"|"STEPHEN"|0|626|626|1|"Mand"
"257"|"INGOLF"|0|619|619|1|"Mand"
"258"|"OSMAN"|0|619|619|1|"Mand"
"259"|"MICK"|0|617|617|1|"Mand"
"260"|"ISAK"|0|601|601|1|"Mand"
"261"|"ANDREW"|0|581|581|1|"Mand"
"262"|"TOMASZ"|0|581|581|1|"Mand"
"263"|"PIOTR"|0|576|576|1|"Mand"
"264"|"ISMAIL"|0|570|570|1|"Mand"
"265"|"VITUS"|0|568|568|1|"Mand"
"266"|"GREGERS"|0|567|567|1|"Mand"
"267"|"RALF"|0|564|564|1|"Mand"
"268"|"BILAL"|0|563|563|1|"Mand"
"269"|"LAURITZ"|0|562|562|1|"Mand"
"270"|"ESKILD"|0|547|547|1|"Mand"
"271"|"IVAR"|0|541|541|1|"Mand"
"272"|"ANDRE"|0|540|540|1|"Mand"
"273"|"HASSE"|0|537|537|1|"Mand"
"274"|"KONRAD"|0|536|536|1|"Mand"
"275"|"SAMIR"|0|534|534|1|"Mand"
"276"|"KLAVS"|0|530|530|1|"Mand"
"277"|"KRZYSZTOF"|0|529|529|1|"Mand"
"278"|"ADNAN"|0|527|527|1|"Mand"
"279"|"ABDULLAH"|0|519|519|1|"Mand"
"280"|"VILHELM"|0|518|518|1|"Mand"
"281"|"MARCIN"|0|517|517|1|"Mand"
"282"|"HEINO"|0|506|506|1|"Mand"
"283"|"ELO"|0|502|502|1|"Mand"
"284"|"JOSEF"|0|501|501|1|"Mand"
"285"|"WALTHER"|0|501|501|1|"Mand"
"286"|"SVEND-ERIK"|0|491|491|1|"Mand"
"287"|"RONALD"|0|487|487|1|"Mand"
"288"|"ELLIOT"|0|484|484|1|"Mand"
"289"|"FRANS"|0|484|484|1|"Mand"
"290"|"HANS-JØRGEN"|0|483|483|1|"Mand"
"291"|"VINCENT"|0|481|481|1|"Mand"
"292"|"MURAT"|0|478|478|1|"Mand"
"293"|"ROLAND"|0|477|477|1|"Mand"
"294"|"MATTIAS"|0|472|472|1|"Mand"
"295"|"MICKEY"|0|472|472|1|"Mand"
"296"|"KASPAR"|0|468|468|1|"Mand"
"297"|"HELMER"|0|467|467|1|"Mand"
"298"|"CASPAR"|0|460|460|1|"Mand"
"299"|"FOLMER"|0|459|459|1|"Mand"
"300"|"GERHARD"|0|459|459|1|"Mand"
"301"|"PAWEL"|0|458|458|1|"Mand"
"302"|"PIERRE"|0|455|455|1|"Mand"
"303"|"IVER"|0|453|453|1|"Mand"
"304"|"ASMUS"|0|449|449|1|"Mand"
"305"|"ANDRZEJ"|0|445|445|1|"Mand"
"306"|"KHALED"|0|444|444|1|"Mand"
"307"|"TOR"|0|440|440|1|"Mand"
"308"|"EINAR"|0|436|436|1|"Mand"
"309"|"RICO"|0|436|436|1|"Mand"
"310"|"BIRK"|0|431|431|1|"Mand"
"311"|"JOSHUA"|0|429|429|1|"Mand"
"312"|"THORVALD"|0|428|428|1|"Mand"
"313"|"YASIN"|0|426|426|1|"Mand"
"314"|"JASON"|0|424|424|1|"Mand"
"315"|"EDVARD"|0|423|423|1|"Mand"
"316"|"BERNT"|0|422|422|1|"Mand"
"317"|"MARCEL"|0|421|421|1|"Mand"
"318"|"DITLEV"|0|420|420|1|"Mand"
"319"|"HERMAN"|0|411|411|1|"Mand"
"320"|"TINO"|0|411|411|1|"Mand"
"321"|"KELL"|0|407|407|1|"Mand"
"322"|"RICKY"|0|407|407|1|"Mand"
"323"|"KARLO"|0|404|404|1|"Mand"
"324"|"EJLER"|0|399|399|1|"Mand"
"325"|"THORKIL"|0|395|395|1|"Mand"
"326"|"UWE"|0|388|388|1|"Mand"
"327"|"HELMUTH"|0|386|386|1|"Mand"
"328"|"MAREK"|0|386|386|1|"Mand"
"329"|"FREDRIK"|0|385|385|1|"Mand"
"330"|"THORSTEN"|0|385|385|1|"Mand"
"331"|"BORIS"|0|380|380|1|"Mand"
"332"|"LUKASZ"|0|380|380|1|"Mand"
"333"|"FREDDIE"|0|379|379|1|"Mand"
"334"|"CHRESTEN"|0|376|376|1|"Mand"
"335"|"RAMAZAN"|0|375|375|1|"Mand"
"336"|"CONRAD"|0|374|374|1|"Mand"
"337"|"GRZEGORZ"|0|374|374|1|"Mand"
"338"|"KHALID"|0|374|374|1|"Mand"
"339"|"BUSTER"|0|370|370|1|"Mand"
"340"|"NIELS-ERIK"|0|369|369|1|"Mand"
"341"|"HALFDAN"|0|368|368|1|"Mand"
"342"|"MIKAIL"|0|366|366|1|"Mand"
"343"|"OLEKSANDR"|0|366|366|1|"Mand"
"344"|"LUIS"|0|365|365|1|"Mand"
"345"|"FREJ"|0|364|364|1|"Mand"
"346"|"YOUSSEF"|0|364|364|1|"Mand"
"347"|"BERTEL"|0|362|362|1|"Mand"
"348"|"JARL"|0|361|361|1|"Mand"
"349"|"WALTER"|0|359|359|1|"Mand"
"350"|"CARLOS"|0|357|357|1|"Mand"
"351"|"FRANZ"|0|357|357|1|"Mand"
"352"|"CURT"|0|354|354|1|"Mand"
"353"|"BERNHARD"|0|353|353|1|"Mand"
"354"|"BILL"|0|352|352|1|"Mand"
"355"|"PATRIK"|0|352|352|1|"Mand"
"356"|"TEIS"|0|346|346|1|"Mand"
"357"|"BENGT"|0|343|343|1|"Mand"
"358"|"ASK"|0|341|341|1|"Mand"
"359"|"HENRI"|0|336|336|1|"Mand"
"360"|"ANTONIO"|0|335|335|1|"Mand"
"361"|"ADEM"|0|334|334|1|"Mand"
"362"|"HANS-CHRISTIAN"|0|334|334|1|"Mand"
"363"|"LEJF"|0|334|334|1|"Mand"
"364"|"LOKE"|0|334|334|1|"Mand"
"365"|"HEINZ"|0|333|333|1|"Mand"
"366"|"MATTHEW"|0|333|333|1|"Mand"
